customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,age
ID0000,Male,1,Yes,Yes,62,Yes,No,No,No,Yes,No,No internet service,No internet service,No,Two year,Yes,Electronic check,24.12,2879.77,Yes,72.0
ID0001,Female,1,Yes,Yes,11,No,No,Fiber optic,No,No internet service,No internet service,Yes,No,No,Month-to-month,No,Credit card (automatic),64.17,5618.99,Yes,48.0
ID0002,Female,1,No,No,10,Yes,Yes,No,No,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),75.12,2417.24,Yes,47.0
ID0003,Female,0,Yes,Yes,12,Yes,Yes,No,No,Yes,No internet service,No,No,Yes,Month-to-month,No,Bank transfer (automatic),86.51,258.47,Yes,83.0
ID0004,Male,0,Yes,Yes,34,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,49.12,366.14,Yes,88.0
ID0005,Male,0,Yes,No,26,Yes,Yes,DSL,Yes,No,Yes,No internet service,Yes,No,Two year,Yes,Electronic check,87.79,35.92,Yes,74.0
ID0006,Male,1,Yes,Yes,66,No,Yes,DSL,No internet service,No internet service,Yes,No internet service,No,No,Two year,Yes,Bank transfer (automatic),59.59,5684.7,Yes,46.0
ID0007,Female,1,No,Yes,44,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.53,6231.18,Yes,47.0
ID0008,Female,0,No,No,66,Yes,No phone service,DSL,Yes,No,No internet service,No,No,Yes,One year,No,Bank transfer (automatic),38.5,8457.61,Yes,39.0
ID0009,Female,1,No,No,21,Yes,No,DSL,Yes,Yes,Yes,No,No internet service,No,Month-to-month,No,Electronic check,50.47,8219.24,No,53.0
ID0010,Male,0,No,No,41,No,No,No,No internet service,Yes,No internet service,No internet service,Yes,No,One year,No,Credit card (automatic),114.96,1651.13,No,70.0
ID0011,Female,0,No,Yes,19,No,Yes,No,No,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.79,2783.61,No,74.0
ID0012,Female,0,No,No,47,No,No phone service,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),109.86,439.27,No,20.0
ID0013,Male,0,No,Yes,17,Yes,No phone service,DSL,No internet service,No,No internet service,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),40.02,5908.09,No,74.0
ID0014,Male,1,Yes,No,69,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,114.29,4058.84,No,47.0
ID0015,Male,0,No,No,5,Yes,No,DSL,No internet service,No internet service,Yes,Yes,No,No internet service,One year,No,Electronic check,94.42,5515.96,Yes,
ID0016,Male,0,No,No,38,No,Yes,No,No internet service,Yes,Yes,No internet service,Yes,Yes,One year,No,Credit card (automatic),79.06,1309.22,No,83.0
ID0017,Female,0,No,No,10,No,No phone service,DSL,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),21.28,3620.44,Yes,64.0
ID0018,Male,0,No,Yes,24,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No internet service,Yes,Two year,No,Bank transfer (automatic),25.19,6235.13,No,46.0
ID0019,Male,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,No,One year,Yes,Mailed check,97.24,1898.7,No,44.0
ID0020,Female,0,No,No,57,No,Yes,No,No,Yes,Yes,Yes,No internet service,No internet service,One year,No,Mailed check,86.9,7144.44,No,62.0
ID0021,Male,0,No,Yes,36,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No,No internet service,One year,Yes,Mailed check,41.37,2729.25,No,87.0
ID0022,Male,1,Yes,No,15,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No,No,Two year,Yes,Mailed check,64.13,50.21,Yes,80.0
ID0023,Male,1,No,No,69,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Electronic check,85.6,7329.91,Yes,35.0
ID0024,Male,1,No,Yes,72,No,No,No,No internet service,No,No internet service,No,No,No,Two year,Yes,Credit card (automatic),21.53,4359.2,No,57.0
ID0025,Female,1,No,Yes,36,Yes,No,No,Yes,No,No,No,No,No internet service,Two year,Yes,Mailed check,87.71,3588.95,Yes,86.0
ID0026,Male,0,No,No,52,No,No,DSL,No,No,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,60.15,3863.83,Yes,27.0
ID0027,Female,1,No,No,15,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),29.49,3714.13,No,41.0
ID0028,Female,1,No,No,17,No,No phone service,DSL,No internet service,No,Yes,No internet service,No,No internet service,One year,No,Bank transfer (automatic),36.35,5993.73,Yes,74.0
ID0029,Male,1,No,Yes,18,No,No phone service,DSL,No,No internet service,No internet service,No internet service,No,No internet service,One year,No,Bank transfer (automatic),62.66,3655.12,Yes,24.0
ID0030,Female,0,Yes,No,43,No,No phone service,No,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.64,4966.51,No,29.0
ID0031,Male,1,Yes,No,1,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No,No,One year,No,Bank transfer (automatic),54.43,2312.81,Yes,77.0
ID0032,Male,1,No,No,57,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,31.01,7740.13,Yes,74.0
ID0033,Female,0,Yes,No,9,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),102.63,1737.16,No,
ID0034,Female,1,No,No,45,No,No,DSL,No,Yes,No internet service,Yes,Yes,No,Two year,No,Mailed check,70.03,471.16,No,70.0
ID0035,Female,0,Yes,No,18,No,No phone service,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,One year,Yes,Credit card (automatic),48.29,2000.07,Yes,67.0
ID0036,Male,1,No,Yes,37,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,88.33,6116.75,Yes,32.0
ID0037,Male,0,Yes,No,36,No,Yes,DSL,No internet service,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Electronic check,53.63,5224.33,Yes,33.0
ID0038,Female,1,No,No,44,No,No,DSL,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,56.17,1903.12,No,
ID0039,Male,1,Yes,Yes,33,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),47.76,5127.96,No,79.0
ID0040,Male,1,Yes,Yes,1,No,No,DSL,No internet service,No internet service,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),56.09,7843.51,Yes,24.0
ID0041,Female,0,No,No,43,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,One year,No,Electronic check,46.24,4814.42,No,81.0
ID0042,Male,1,No,Yes,26,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),118.24,3047.28,No,80.0
ID0043,Female,0,Yes,No,47,No,No,Fiber optic,Yes,No,Yes,Yes,No internet service,No,One year,Yes,Credit card (automatic),45.75,8616.22,No,32.0
ID0044,Male,0,Yes,Yes,6,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No,Two year,Yes,Electronic check,84.71,6226.73,Yes,75.0
ID0045,Female,0,No,Yes,26,No,No phone service,No,Yes,No,No internet service,Yes,Yes,Yes,One year,No,Electronic check,39.22,3539.15,Yes,24.0
ID0046,Male,0,Yes,No,70,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,No,One year,No,Mailed check,75.68,4018.64,No,72.0
ID0047,Female,1,No,Yes,17,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),70.89,4311.16,Yes,70.0
ID0048,Female,1,Yes,No,32,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,One year,Yes,Bank transfer (automatic),75.37,8969.07,Yes,39.0
ID0049,Male,1,Yes,Yes,32,Yes,No phone service,DSL,No,Yes,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),55.64,7127.73,No,38.0
ID0050,Female,0,No,No,24,Yes,No,DSL,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,107.08,3810.71,No,87.0
ID0051,Female,1,No,Yes,13,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No internet service,No,One year,No,Electronic check,49.79,769.72,No,32.0
ID0052,Female,0,No,No,37,Yes,No phone service,No,No,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),107.14,1009.33,Yes,79.0
ID0053,Female,0,Yes,No,37,No,Yes,DSL,No internet service,No internet service,Yes,No internet service,No internet service,No,Two year,Yes,Mailed check,60.63,6254.17,Yes,41.0
ID0054,Female,0,Yes,No,3,Yes,No,No,No,Yes,No internet service,No,Yes,No,One year,No,Credit card (automatic),85.23,2083.06,Yes,69.0
ID0055,Female,1,Yes,No,61,Yes,Yes,DSL,No,Yes,No internet service,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),21.01,4131.84,No,
ID0056,Male,1,No,Yes,9,No,No phone service,No,No,Yes,No,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),64.1,5574.4,Yes,35.0
ID0057,Male,0,Yes,No,34,No,Yes,DSL,No internet service,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Mailed check,84.97,6464.22,No,54.0
ID0058,Male,1,Yes,Yes,22,Yes,Yes,No,No,No internet service,No internet service,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),49.76,1266.23,Yes,23.0
ID0059,Male,1,No,Yes,64,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,52.14,933.82,No,50.0
ID0060,Male,0,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),59.7,8205.87,No,53.0
ID0061,Male,0,Yes,No,52,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No,One year,Yes,Mailed check,46.91,7219.29,Yes,38.0
ID0062,Female,1,No,Yes,16,No,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,No,One year,No,Credit card (automatic),80.31,3287.13,No,69.0
ID0063,Male,0,No,Yes,56,No,No phone service,DSL,No,Yes,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),24.92,586.23,No,
